Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,6001153306.2645,5601090584.36122,5843329107.56171,6557333084.60567,7872333215.00414,9531402847.87311,11470703002.0769,12247694247.2298,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19047940300.8963,18093829923.2737,17098342541.4365,12930394937.8137,11400854267.7188,12128104859.1498,13567351175.0315,13469422941.3919,12016056665.3473
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,13245833843.5454,14183497963.1071,16402846413.0958,21144983551.6823,26157894736.8421,29869283400.0381,34379808888.6039,44405101469.5591,54438966419.8639,52023504656.2878,50381825504.2642,57386216850.3377,54033250328.5151,55615397665.5809,56901994980.3283,50647442756.7445,53806894796.3801,58971520599.2509,66230155099.5775,68558815111.6199,69105101089.5531
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,2968369991.46729,3190371050.45524,3622350203.94595,4740768355.22974,5451688868.42974,6146352742.03313,6547420133.69942,7625723123.54939,9451436358.96861,9450697335.53565,10109618964.2848,12080296644.0643,12561016091.4673,13444301139.1384,13943016923.9017,11832159275.603,12833363370.174,14106956830.0857,16059910870.6239,15990803569.9961,17369059295.2226
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,870486065.883137,876794723.068586,825394490.159111,784654423.620476,915257323.3961,1117113045.65222,1273375020.26862,1356199364.85882,1611835901.9063,1781455092.07114,2032135191.46216,2235820808.72913,2333308059.02403,2451625280.19537,2705783330.38791,3104394792.28413,2959641046.92291,3172292379.36329,3036937141.27062,3012308945.62671,3258187232.63159
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,539227277.626411,563024383.296626,620974660.230303,813963830.179217,924318490.7598,971977088.156914,1107891063.43863,1513933983.22398,1789333748.6799,1711817181.52969,1664310769.55229,1865915544.12445,1741809808.96442,1850470042.43281,1859898513.26858,1596800287.16405,1662998677.88425,1769787215.42141,1966983316.32593,1981845740.70615,1703698676.69742
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,3654031716.27649,3984000517.01899,4284028482.54971,4658246918.26014,5337833248.02828,6293046161.82646,7274595706.66355,8639235842.17756,10351914093.1626,10401851850.6062,11242275198.9706,12829541141.0175,14054443213.4731,15227991395.2235,16702610842.4106,18049954289.4301,20016747754.0153,22177200511.5882,24571753583.504,27089389786.9684,25291251427.3979
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,10109045070.7398,10380401988.7009,11634008832.7568,14581533773.0433,17462229588.9923,17951220881.4502,19373256211.0279,22394848085.2894,26516681614.3498,26122645990.7794,26169323292.5278,29375448542.4466,29102772799.0038,32357345500.9885,34989493826.2179,30928653813.8538,32643697595.8378,35009262788.15,38694156862.9922,39007354359.2798,39802147568.2174
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,744773415931.587,738981792355.372,760649334098.005,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1721853332869.63,1741576393905.98,1643407977068.93
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,4200439457.5783,4466438857.5543,4586114124.56498,4281868714.74859,4156990759.63038,4186223808.95236,4291159006.36025,4405954638.18553,4563017880.71523,4708336733.46934,4909498979.9592,5166467298.69195,5522625585.0234,5935769350.77403,..
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,914500299.097034,931833302.752857,991387870.12463,1139754799.16304,1270080250.65268,1337362392.15225,1460561215.4447,1697565948.65323,1985240986.18508,2059094048.26019,2142591539.43547,2437982706.57518,2510126509.99477,1691544110.69163,1894813389.88179,1695825714.24273,1825018144.46194,2072349974.15257,2220979144.52018,2220307318.74886,2303078337.57431
