Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,21679.2478424147,19490.8611097303,20082.4832672749,23447.0310006717,30430.6764374443,33999.2428575835,36044.9228108485,40960.0544948199,49601.6567082178,42772.3591664498,52022.1255961876,62517.8337471503,68012.1479005934,68150.1070413215,62510.7911705641,56755.7217124249,49971.131456129,54027.9668184568,57354.9640455891,55057.2046960666,51812.1540373988
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,24564.4582948404,24537.5142629883,26401.7454564357,32222.8972411655,36821.5214680093,38403.1338770715,40635.2818159724,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.7087062864,51717.4959405515,44178.0473777432,45276.8314351693,47309.3662735282,51453.1470238016,50121.5542131186,48105.3646248411
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,655.119945170816,703.683843432722,763.080637985358,883.733971498452,1045.00937916805,1578.40239029603,2473.08181863536,3851.43786871172,5574.60380218613,4950.29479142375,5843.5337683582,7189.69122920765,7496.29464768263,7875.75695254288,7891.31314749986,5500.31038244408,3880.73873089556,4147.08971569171,4739.84171028393,4805.75371765917,4214.3113363475
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,27098.1563186767,27486.2367737544,28867.0824977166,28327.8136706662,28396.0137099278,30279.3922080481,30713.7980618188,31472.2855356015,30627.3277467412,28552.5171624714,28443.8884756689,28005.9124040903,29485.8642228279,28784.0244905519,29980.7082630691,31295.5638695885,31563.3078695925,32719.6665872078,33767.9411879108,34863.3840497476,28607.9013752136
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,13636.4167499288,12868.1769170821,13049.9097291643,14222.0367965749,15846.5059474506,17959.3968267194,19307.5089373876,20976.442287272,23066.4509824376,19355.9210050895,20722.0704900745,22514.202716483,23654.3695877495,24744.296958551,24989.437527708,22634.0856475674,22608.4525623673,23742.9373424159,23991.0413905597,23443.4348283266,..
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,418.068942112038,415.034404287378,413.080282638086,446.310675745944,475.291930195819,499.461940239156,509.640189887604,558.051840707954,634.987069668507,702.264419644314,781.153577677298,861.762162181077,883.117129615718,981.860851354457,1118.87380783368,1248.45330989613,1401.56463513179,1563.76781861826,1698.13208078712,1855.6915096678,1968.79222484581
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,11268.4200640121,11209.4211248688,11361.5167707179,11699.3704685216,12512.5779652212,13822.7417486972,15199.5675286062,16770.6610309974,17092.5821408414,15885.410181888,16056.3709766031,16458.3532105715,16249.6739490585,16451.2793094473,16489.0722373387,16524.899501274,16900.0482858522,17391.6689084614,17745.2553725928,18148.4978451054,15191.1640353411
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,1276.49398462377,1244.37318523431,1479.31458271677,1819.76605926177,2378.62328600741,3125.81053502853,3847.43412382153,4735.65760793999,6377.36973201232,5351.35538243278,6029.3967998293,6519.23019498892,6940.15925359735,7978.87261471076,8318.51268992675,5949.10630699748,5022.62664330491,5761.74712023007,6330.0752464187,6839.10383292452,6411.2278131981
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,23041.5347290428,22995.1575247288,24887.5613341833,30587.6684093796,35364.3753314368,36795.9768819639,38672.7059429767,44262.8960009954,48106.892915788,44583.5448070814,44141.8781415734,47348.5250202016,44673.1158755901,46744.6625441516,47700.5403601178,40991.8081381432,41984.1030335609,44089.3100875118,47554.7463078937,46414.4352334354,44594.3781075628
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3364.49179027445,3404.42049754264,3526.08159515622,3650.60652658731,3802.26307513457,3885.03400318713,4155.32380433871,4252.39538591882,4404.30819362552,4186.519984116,4270.7800308201,4423.4968423614,4505.60059312987,4568.64122799115,4718.43658122355,4770.23265563888,4856.97324853112,4945.85769867226,5001.42215663433,5078.80994441772,4435.62115419432
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,512.673918542835,518.067478902149,574.929776196326,711.284922669436,798.744255592617,822.785201409895,856.054875766203,966.2035810124,1125.42602943016,1088.75785169783,1036.53459416252,1130.27318959427,1145.14001854462,1251.20970702834,1291.41010666767,1076.79670153022,1087.28730384853,1136.59397046254,1240.83096186066,1219.51547853535,1291.04096203645
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,56284.1686478094,58883.9594265967,62583.1002034588,66111.7252270035,70359.3191088798,75882.0338560339,95221.8588720301,104287.387498459,106935.486341979,101407.764031934,101875.28407346,97774.1620717428,98431.8651810241,99471.6388978631,98467.683993982,102005.62564189,106885.878489327,111820.581466347,113023.185594268,117098.446325474,..
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,718.196336969414,764.432808246182,845.500672103578,962.095371307745,1068.43181141275,1228.43235572338,1330.97744400874,1757.19049597895,1828.1546768491,1819.19730959964,2258.18643535953,2563.261223801,2538.94951919964,2472.72475320595,2652.22565438023,2752.63017233678,2930.5749227006,3286.59674376682,3243.47743748718,3316.16702210577,3122.37606234724
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,997.581748874387,948.870211337892,904.225799882294,907.537415801528,967.406458598204,1034.31180039586,1218.87407027713,1372.62836843372,1715.2083925524,1754.20946375615,1955.460180975,2346.3378439235,2609.88056208632,2908.200370948,3081.87882365163,3035.97165495107,3076.65643933721,3351.12434432642,3548.59078021899,3552.06814383653,3143.04549424189
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,1467.77647716048,1530.81400080527,1769.19888670572,2224.74231631471,2814.9998948741,2980.60131734073,3416.51241043418,4193.3680796247,5090.94590505821,4714.6936611642,4635.51027337483,5092.55472521264,4778.63608845506,5131.40464581334,5329.63198373154,4727.27633310331,4994.68904038619,5394.57995305594,6072.18462285304,6120.11262579357,6031.55686867658
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,3522.3108214571,3278.01607934706,3190.62481146154,4330.97236855283,5073.52040802149,5513.33106259322,5521.99060810445,5832.73705168476,5713.54393106428,5255.77653269313,6434.81248526822,7617.31004132551,7050.57347186681,7224.91273728564,7780.63475753974,6799.87017783413,7243.93397430839,7893.41867148033,8279.81845660293,7970.79696800641,6710.990411266
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,3749.75327141454,3156.7987713336,2829.28314489459,3070.91052439544,3637.46242879358,4790.43695908641,5886.46368222667,7348.03071626086,8831.02311697566,8597.91548455152,11286.2429009115,13245.6120301146,12370.0244490002,12300.324821091,12112.5876683327,8814.00141787464,8710.09677403838,9928.6430632111,9151.44525254365,8897.48777044292,6796.84454227877
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,18012.5021948953,16472.0032948215,16850.3940790817,18560.5035016224,21902.0271176465,26105.4220290571,30979.9628427354,32663.3923711414,37934.6764481019,27956.0051426256,35270.6421390658,47055.960643203,47739.5576931563,44740.8594244355,41725.8675220155,31164.0362528468,27158.4056535724,28571.608291419,31628.4762566009,31085.9618860822,27466.3396414199
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,1621.24296080247,1770.91353394746,2092.95769387611,2719.49765607059,3389.70704883102,3899.90763774017,4523.0508329806,5885.10434781837,7265.73549682997,6988.23332468094,6812.40633845402,7809.42506245471,7395.84980340721,7655.12970759319,7876.86646539994,7055.93567291245,7548.85500737534,8334.08172775332,9427.73043039881,9828.14851478139,9975.78000070924
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,255.718687257319,267.097599629023,294.665388546593,374.627357970473,418.37666028192,457.933430763383,473.449868166334,535.062279451535,643.404581023036,624.175164544582,647.836095537879,751.172770411005,758.000426972403,787.469438309085,792.84623742527,653.32726813947,688.250696258197,734.996267960528,813.099689441984,786.895437677452,830.925144621939
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,136.46397080034,134.363426917623,123.117536141087,113.567251308875,128.336702810905,151.681566343002,167.376462504995,172.495596648941,198.352851736367,212.137057219997,234.235532533654,249.577972769836,252.358866309211,256.975647122635,274.857842155366,305.549646023245,282.193028464612,292.998009548647,271.752496382505,261.24529116164,274.009523229095
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,1259.35306724402,1292.22651152195,1401.89107297649,1809.11002984768,2024.26638129338,2099.14841708582,2361.38010115423,3186.77993467023,3721.21999284574,3517.43015558829,3378.3234334576,3740.37410269948,3447.48310007387,3616.03556968932,3588.62558418407,3043.03138156811,3130.99875340636,3292.63350335797,3617.34744544679,3603.77524058462,3064.27238842819
